# pitch accents for deck words, filtered from kanjium (github.com/mifunetoshiro/kanjium, CC BY-SA)
メニュー	メニュー	1
メランコリー	メランコリー	2
メリット	メリット	1
メンバー	メンバー	1
メール	メール	1
モチベーション	モチベーション	3
モチーフ	モチーフ	2
モットー	モットー	1
モデル	モデル	1
モニター	モニター	1
モラトリアム	モラトリアム	3
モラル	モラル	1
ユーザー	ユーザー	1
ユートピア	ユートピア	3
ユーモア	ユーモア	1
ライバル	ライバル	1
ラジオ	ラジオ	1
ラスト	ラスト	1
ラディカル	ラディカル	1
ラーメン	ラーメン	1
リアル	リアル	1
リサイクル	リサイクル	2
リサーチ	リサーチ	2
リスク	リスク	1
リスト	リスト	1
リズム	リズム	1
リターン	リターン	2
リテラシー	リテラシー	2
リフレッシュ	リフレッシュ	3
リモート	リモート	2
リラックス	リラックス	2
リンク	リンク	1
リーダー	リーダー	1
リード	りーど	1
ルーズ	ルーズ	1
ルール	ルール	1
レイアウト	レイアウト	3
レジ	レジ	1
レジャー	レジャー	1
レジュメ	レジュメ	0
レストラン	レストラン	1
レトリック	レトリック	3
レベル	レベル	1
レベルアップ	レベルアップ	4
レポート	レポート	2
レンズ	レンズ	1
レート	レート	1
ログイン	ログイン	3
ロボット	ロボット	1
ローン	ローン	1
ワイヤレス	ワイヤレス	1
ワイン	ワイン	1
一	いち	2
一つ	ひとつ	2
一人	ひとり	2
一入	ひとしお	0
一刀両断	いっとうりょうだん	0
一切	いっさい	1
一喜一憂	いっきいちゆう	1
一帯	いったい	0
一度	いちど	3
一度に	いちどに	3
一心不乱	いっしんふらん	3
一挙に	いっきょに	1
一斉に	いっせいに	0
一方	いっぽう	3
一族	いちぞく	2
一日	ついたち	4
一日千秋	いちじつせんしゅう	0
一時	いちじ	2
一時的	いちじてき	0
一朝一夕	いっちょういっせき	0
一概に	いちがいに	0
一気に	いっきに	1
一生懸命	いっしょうけんめい	5
一番	いちばん	2
一瞬	いっしゅん	0
一石二鳥	いっせきにちょう	0
一網打尽	いちもうだじん	0
一致	いっち	0
一般	いっぱん	0
一角	いっかく	0
一躍	いちやく	0
一途	いちず	2
一進一退	いっしんいったい	3
一部	いちぶ	2
一部始終	いちぶしじゅう	4
一長一短	いっちょういったん	0
一面	いちめん	0
丁寧	ていねい	1
七	なな	1
七つ	ななつ	2
万	まん	1
丈夫	じょうぶ	0
三つ	みっつ	3
三角	さんかく	1
上	うえ	0
上がる	あがる	0
上半身	じょうはんしん	3
上司	じょうし	1
上告	じょうこく	0
上品	じょうひん	3
上手	じょうず	3
上着	うわぎ	0
下	した	0
下がる	さがる	2
下す	くだす	0
下半身	かはんしん	2
下品	げひん	2
下手	へた	2
不便	ふべん	1
不信	ふしん	0
不公平	ふこうへい	2
不利	ふり	1
不十分	ふじゅうぶん	2
不可欠	ふかけつ	2
不可能	ふかのう	2
不合格	ふごうかく	2
不器用	ぶきよう	2
不安	ふあん	0
不幸	ふこう	2
不意に	ふいに	3
不振	ふしん	0
不条理	ふじょうり	2
不況	ふきょう	0
不法	ふほう	0
不満	ふまん	0
不潔	ふけつ	0
不眠	ふみん	0
不確実	ふかくじつ	2
不自由	ふじゆう	1
不調	ふちょう	0
不足	ふそく	0
不遜	ふそん	0
与える	あたえる	0
与党	よとう	1
且つ	かつ	1
世代	せだい	1
世帯	せたい	2
世界	せかい	1
世界観	せかいかん	2
世紀	せいき	1
世話	せわ	2
世論	よろん	1
世間	せけん	1
世間話	せけんばなし	4
両側	りょうがわ	0
両方	りょうほう	3
両親	りょうしん	1
並びに	ならびに	0
並ぶ	ならぶ	0
並べる	ならべる	0
並木	なみき	0
中	なか	1
中和	ちゅうわ	0
中央	ちゅうおう	3
中心	ちゅうしん	0
中心地	ちゅうしんち	3
中性子	ちゅうせいし	3
中枢	ちゅうすう	0
中止	ちゅうし	0
中毒	ちゅうどく	1
中継	ちゅうけい	0
中身	なかみ	2
丸	まる	0
丸い	まるい	0
丸める	まるめる	0
丹念	たんねん	1
主	おも	1
主に	おもに	1
主人	しゅじん	1
主人公	しゅじんこう	2
主婦	しゅふ	1
主張	しゅちょう	0
主役	しゅやく	0
主旨	しゅし	1
主権	しゅけん	0
主演	しゅえん	0
主眼	しゅがん	0
主要	しゅよう	0
主観	しゅかん	0
乃至	ないし	1
乏しい	とぼしい	3
乖離	かいり	1
乗りこなす	のりこなす	4
乗り出す	のりだす	3
乗り換え	のりかえ	0
乗り換える	のりかえる	4
乗り物	のりもの	0
乗り越える	のりこえる	4
乗る	のる	0
九	きゅう	1
九つ	ここのつ	2
乱暴	らんぼう	0
乳歯	にゅうし	1
乾かす	かわかす	3
乾く	かわく	2
予て	かねて	1
予め	あらかじめ	0
予兆	よちょう	0
予報	よほう	0
予定	よてい	0
予後	よご	1
予想	よそう	0
予想外	よそうがい	2
予測	よそく	0
予算	よさん	0
予算案	よさんあん	2
予約	よやく	0
予防	よぼう	0
争う	あらそう	3
争点	そうてん	1
